TIME,ROAD_CLASS,DISTRICT,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,INITDIR,MANOEUVER,DRIVACT,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,NEIGHBOURHOOD_158
1646,Major Arterial,North York,Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,30 to 34,,West,Turning Left,Failed to Yield Right of Way,,,,,,,,,Yes,,,,Yes,,Yes,,,Banbury-Don Mills
214,Major Arterial,Scarborough,Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,15 to 19,Major,North,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Had Been Drinking,,,,Yes,,Yes,,,,,,,,,Golfdale-Cedarbrae-Woburn
1528,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,45 to 49,Major,Unknown,,,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,,,,Yes,,Yes,,,,Yes,,Yes,Yes,,Rockcliffe-Smythe
937,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Driver,20 to 24,,North,Going Ahead,Disobeyed Traffic Control,,,,,,,,Yes,Yes,,,,,Yes,Yes,Yes,,Downsview
2014,Major Arterial,North York,Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,80 to 84,,South,Turning Left,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,Yes,,Yes,,,Forest Hill North
2024,Minor Arterial,North York,Mid-Block,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,65 to 69,Major,Unknown,,,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Normal,,,,Yes,,Yes,,,,,,Yes,,,Lansing-Westgate
1030,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,75 to 79,Minimal,South,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,,,,,Mount Dennis
2020,Major Arterial,North York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,,South,Going Ahead,Disobeyed Traffic Control,,,,,,,,,Yes,,,,Yes,,Yes,Yes,Yes,Bayview Village
1646,Major Arterial,North York,Intersection,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,55 to 59,,West,Stopped,Driving Properly,,,,,,,,,Yes,,,,Yes,,Yes,,,Banbury-Don Mills
1614,Major Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,,South,Turning Left,Failed to Yield Right of Way,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,East End-Danforth
1614,Major Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,35 to 39,Major,North,Going Ahead,Driving Properly,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,East End-Danforth
1614,Major Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,10 to 14,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,East End-Danforth
515,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Driver,45 to 49,,East,Turning Left,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,,,Yes,,,Agincourt South-Malvern West
515,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,West,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,Yes,,,Agincourt South-Malvern West
2320,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,,South,Turning Left,Failed to Yield Right of Way,,,,,,,,,Yes,Yes,,,,,Yes,,,Junction-Wallace Emerson
2320,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,35 to 39,Major,North,Going Ahead,Driving Properly,,,,,,,,,Yes,Yes,,,,,Yes,,,Junction-Wallace Emerson
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,45 to 49,Major,North,Going Ahead,Disobeyed Traffic Control,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,35 to 39,,East,Going Ahead,Driving Properly,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
1400,Major Arterial,North York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,,,,,,,,,,,,,,Yes,,,,,,,,Thorncliffe Park
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,Minimal,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,30 to 34,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
51,Major Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,55 to 59,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,,Thistletown-Beaumond Heights
1645,Minor Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,,South,Turning Left,Improper Turn,,,,,,,,,Yes,Yes,,,Yes,,,,,Palmerston-Little Italy
1645,Minor Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,30 to 34,Major,North,Going Ahead,Driving Properly,,,,,,,,,Yes,Yes,,,Yes,,,,,Palmerston-Little Italy
1645,Minor Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,50 to 54,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,Palmerston-Little Italy
1645,Minor Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,45 to 49,Minimal,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,Palmerston-Little Italy
1645,Minor Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,5 to 9,Minimal,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,Palmerston-Little Italy
1645,Minor Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,35 to 39,Minimal,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,Palmerston-Little Italy
2100,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,,South,Turning Left,Failed to Yield Right of Way,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,South Eglinton-Davisville
2100,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,40 to 44,Major,North,Going Ahead,Driving Properly,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,South Eglinton-Davisville
2100,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,unknown,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,South Eglinton-Davisville
2100,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,20 to 24,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,South Eglinton-Davisville
2159,Major Arterial,Toronto and East York,Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,15 to 19,Major,West,Changing Lanes,,,,,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Improper Lane Change,Inattentive,,Yes,Yes,,,,,,,,,The Beaches
2159,Major Arterial,Toronto and East York,Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,50 to 54,,West,Going Ahead,Driving Properly,,,,,,,,Yes,Yes,,,,,,,,,The Beaches
2159,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,15 to 19,Major,West,Changing Lanes,,,,,,Improper Lane Change,Inattentive,,Yes,Yes,,,,,,,,,The Beaches
2159,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,50 to 54,,West,Going Ahead,Driving Properly,,,,,,,,Yes,Yes,,,,,,,,,The Beaches
2306,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Driver,40 to 44,,East,Turning Left,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,Yes,,Yes,,,Taylor-Massey
2306,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Passenger,10 to 14,,,,,,,,,,,Yes,,Yes,,,,Yes,,Yes,,,Taylor-Massey
2306,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,West,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Unknown,,,,Yes,,Yes,,,,Yes,,Yes,,,Taylor-Massey
125,Major Arterial,Toronto and East York,Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Driver,25 to 29,,West,Going Ahead,Lost control,,,,,,,Yes,,Yes,,,,,,,,,Moss Park
125,Major Arterial,Toronto and East York,Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,45 to 49,Minimal,Unknown,,,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,,,,Yes,,Yes,,,,,,,,,Moss Park
125,Major Arterial,Toronto and East York,Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,Unknown,,,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Unknown,,,,Yes,,Yes,,,,,,,,,Moss Park
2105,Major Arterial,Scarborough,Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,,North,Turning Left,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,,,Yes,,,Milliken
2105,Major Arterial,Scarborough,Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,South,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Unknown,,,,Yes,,Yes,,,,,,Yes,,,Milliken
2120,Major Arterial,Toronto and East York,Intersection,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,25 to 29,,East,Turning Right,Improper Turn,,,,,,,,Yes,Yes,,,,,,,,,Little Portugal
2120,Major Arterial,Toronto and East York,Intersection,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,40 to 44,Major,North,Going Ahead,,,,,"Motorist turns right at non-signal Inter.(stop, yield, no cont.,and dwy) and strikes cyclist.",Driving Properly,Normal,,Yes,Yes,,,,,,,,,Little Portugal
1639,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Major,East,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Unknown,,,,Yes,,Yes,,,,,,Yes,,,Clairlea-Birchmount
1639,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,55 to 59,,West,Turning Left,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,,,Yes,,,Clairlea-Birchmount
1639,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,East,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,Yes,,,Clairlea-Birchmount
122,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,East,Going Ahead,,,,,Motorist turned left across cyclists path.,Driving Properly,Normal,,Yes,Yes,,,,,,Yes,,,Cabbagetown-South St.James Town
122,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,,West,Turning Left,Failed to Yield Right of Way,,,,,,,,Yes,Yes,,,,,,Yes,,,Cabbagetown-South St.James Town
1805,Minor Arterial,Etobicoke York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,30 to 34,,South,Turning Right,Failed to Yield Right of Way,,,,,,,,Yes,Yes,,,,,,Yes,,,Edenbridge-Humber Valley
1805,Minor Arterial,Etobicoke York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,South,Going Ahead,,,,,"Motorist turns right at non-signal Inter.(stop, yield, no cont.,and dwy) and strikes cyclist.",Driving Properly,Normal,,Yes,Yes,,,,,,Yes,,,Edenbridge-Humber Valley
1720,Minor Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,30 to 34,,West,Turning Right,Improper Turn,,,,,,,,Yes,Yes,,,,,,,,,Keelesdale-Eglinton West
1720,Minor Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,West,Turning Right,,,,,Motorist turning right on green or amber at signalized intersection strikes cyclist.,Driving Properly,Normal,,Yes,Yes,,,,,,,,,Keelesdale-Eglinton West
1205,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Other,Driver,50 to 54,,East,Slowing or Stopping,Other,,,,,,,,,,,,Yes,Yes,,,,,Lansing-Westgate
1205,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Other,Passenger,60 to 64,Major,,,,,,,,,,,,,,,Yes,Yes,,,,,Lansing-Westgate
1719,Major Arterial,North York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,20 to 24,,South,Going Ahead,Following too Close,,,,,,,,,Yes,,,,,,Yes,,,Newtonbrook East
1719,Major Arterial,North York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,35 to 39,Major,South,Slowing or Stopping,Driving Properly,,,,,,,,,Yes,,,,,,Yes,,,Newtonbrook East
1719,Major Arterial,North York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,45 to 49,Minimal,South,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,,,Yes,,,Newtonbrook East
610,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dawn,Dry,Non-Fatal Injury,Turning Movement,Driver,50 to 54,,East,Turning Left,Improper Turn,,,,,,,,,Yes,Yes,,,,,,,,The Beaches
610,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dawn,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,60 to 64,Major,West,Going Ahead,Driving Properly,,,,,,,,,Yes,Yes,,,,,,,,The Beaches
1200,Minor Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,unknown,,North,Going Ahead,Failed to Yield Right of Way,,,,,,,,Yes,Yes,,,,,,Yes,,,Cabbagetown-South St.James Town
1200,Minor Arterial,Toronto and East York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,West,Going Ahead,,,,,"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.",Driving Properly,Normal,,Yes,Yes,,,,,,Yes,,,Cabbagetown-South St.James Town
1322,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,70 to 74,,South,Turning Left,Failed to Yield Right of Way,,,,,,,,,Yes,,,,,,Yes,,,Bayview Woods-Steeles
1322,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,Major,North,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,,,Yes,,,Bayview Woods-Steeles
108,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,,South,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,Yes,,,,,Casa Loma
108,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,60 to 64,,,,,,,,,,,Yes,,Yes,,,,Yes,,,,,Casa Loma
108,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,60 to 64,,,,,,,,,,,Yes,,Yes,,,,Yes,,,,,Casa Loma
108,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,15 to 19,Major,West,,,Pedestrian hit at mid-block,Running onto Roadway,Unknown,,,,Yes,,Yes,,,,Yes,,,,,Casa Loma
115,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,East,Going Ahead,,,,,Insufficient information (to determine cyclist crash type).,Other,Had Been Drinking,,Yes,,,,Yes,,,,,,Little Portugal
115,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,,West,Going Ahead,Driving Properly,,,,,,,,Yes,,,,Yes,,,,,,Little Portugal
459,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Driver,unknown,,West,Going Ahead,Other,,,,,,,Yes,,Yes,,,,,,,,,Junction Area
459,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Fatal,East,,,Pedestrian hit at mid-block,Walking on Roadway Against Traffic,Other,,,,Yes,,Yes,,,,,,,,,Junction Area
2240,Minor Arterial,Etobicoke York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,,North,Turning Right,Improper Turn,,,,,,,Yes,,Yes,Yes,,,,,,,,Junction Area
2240,Minor Arterial,Etobicoke York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Motorcycle Driver,20 to 24,Major,North,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,Yes,,,,,,,,Junction Area
2240,Minor Arterial,Etobicoke York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Minimal,Unknown,,,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,,,,Yes,,Yes,Yes,,,,,,,,Junction Area
2240,Minor Arterial,Etobicoke York,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,Unknown,,,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,,,,Yes,,Yes,Yes,,,,,,,,Junction Area
855,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,East,Turning Left,Failed to Yield Right of Way,,,,,,,Yes,,Yes,,,,,,Yes,,,South Riverdale
855,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,65 to 69,Major,Unknown,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,Yes,,,South Riverdale
147,Major Arterial,Scarborough,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Driver,30 to 34,,East,Going Ahead,Driving Properly,,,,,,,Yes,,,,,Yes,,,,,,Scarborough Village
147,Major Arterial,Scarborough,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Fatal,,,,,,,,,,Yes,,,,,Yes,,,,,,Scarborough Village
1736,Major Arterial,Etobicoke York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,,South,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,,,,,,Rockcliffe-Smythe
1736,Major Arterial,Etobicoke York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,East,,,Pedestrian hit at mid-block,Running onto Roadway,"Ability Impaired, Drugs",,,,Yes,,Yes,,,,,,,,,Rockcliffe-Smythe
1729,Major Arterial,Scarborough,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,45 to 49,,North,Turning Left,Improper Turn,,,,,,,,,Yes,,,,,,,,,Tam O'Shanter-Sullivan
1729,Major Arterial,Scarborough,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,Major,East,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,,,,,,Tam O'Shanter-Sullivan
1610,Local,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,,West,Slowing or Stopping,Driving Properly,,,,,,,,Yes,Yes,,,,,,,,,Weston-Pelham Park
1610,Local,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,South,Going Ahead,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Failed to Yield Right of Way,Had Been Drinking,,Yes,Yes,,,,,,,,,Weston-Pelham Park
1744,Major Arterial,Etobicoke York,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,Minor,West,Going Ahead,Exceeding Speed Limit,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,Islington
1744,Major Arterial,Etobicoke York,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,45 to 49,Major,South,Turning Left,Failed to Yield Right of Way,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,Islington
1744,Major Arterial,Etobicoke York,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,45 to 49,Major,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,Islington
